&{Gid:61691 Gname:M4A4 | 合纵 (略有磨损) CnyPrice:427.77}
&{Gid:46878 Gname:爪子刀（★） | 表面淬火 (略有磨损) CnyPrice:4950.00}
&{Gid:1243 Gname:AK-47 | 红线 (略有磨损) CnyPrice:396.50}
&{Gid:512 Gname:M4A4 | 黑色魅影 (崭新出厂) CnyPrice:263.95}
&{Gid:2324 Gname:AUG | 变色龙 (崭新出厂) CnyPrice:33.00}
&{Gid:47225 Gname:锯齿爪刀（★） | 狩猎网格 (战痕累累) CnyPrice:1460.00}
&{Gid:2241 Gname:AWP | 猫猫狗狗 (略有磨损) CnyPrice:19.35}
&{Gid:101432 Gname:USP 消音版 | 地狱门票 (崭新出厂) CnyPrice:14.38}
&{Gid:3792 Gname:AWP | 鬼退治 (久经沙场) CnyPrice:1660.00}
&{Gid:1217 Gname:AWP | *嘣* (久经沙场) CnyPrice:393.00}
&{Gid:234 Gname:AWP | 猫猫狗狗 (崭新出厂) CnyPrice:29.90}
&{Gid:49060 Gname:裹手（★） | 警告！ (久经沙场) CnyPrice:1640.00}
&{Gid:1242 Gname:AWP | 石墨黑 (崭新出厂) CnyPrice:1096.00}
&{Gid:45214 Gname:AK-47（StatTrak™） | 表面淬火 (久经沙场) CnyPrice:1650.00}
&{Gid:102441 Gname:AWP（StatTrak™） | 迷人眼 (崭新出厂) CnyPrice:675.00}
&{Gid:31232 Gname:AK-47 | 火蛇 (久经沙场) CnyPrice:4700.00}
&{Gid:2217 Gname:M4A1 消音型 | 次时代 (久经沙场) CnyPrice:82.00}
&{Gid:53875 Gname:M4A4 | 活色生香 (略有磨损) CnyPrice:96.00}
&{Gid:2596 Gname:内格夫 | 动力装载机 (崭新出厂) CnyPrice:33.50}
&{Gid:7070 Gname:AWP | 亡灵之主 (久经沙场) CnyPrice:10.90}
&{Gid:5407 Gname:爪子刀（★） | 致命紫罗兰 (久经沙场) CnyPrice:3485.00}
&{Gid:102531 Gname:音乐盒 | 完美世界 - 花脸 CnyPrice:20.70}
&{Gid:52238 Gname:鲍伊猎刀（★） | 枯焦之色 (久经沙场) CnyPrice:539.00}
&{Gid:254 Gname:海豹突击队第六分队士兵 | 海军水面战中心海豹部队 CnyPrice:16.40}
&{Gid:3841 Gname:M4A1 消音型 | 二号玩家 (略有磨损) CnyPrice:268.98}
&{Gid:1870 Gname:锯齿爪刀（★） | 都市伪装 (久经沙场) CnyPrice:1599.99}
&{Gid:14611 Gname:AK-47 | 燃料喷射器 (破损不堪) CnyPrice:535.00}
&{Gid:10397 Gname:刺刀（★） | 大马士革钢 (久经沙场) CnyPrice:1878.00}
&{Gid:102369 Gname:截短霰弹枪 | 么么 (崭新出厂) CnyPrice:101.50}
&{Gid:4301 Gname:AK-47（StatTrak™） | 红线 (久经沙场) CnyPrice:226.00}
&{Gid:35229 Gname:穿肠刀（★） | 枯焦之色 (久经沙场) CnyPrice:450.00}
&{Gid:48546 Gname:折刀（★） | 多普勒 (崭新出厂) CnyPrice:998.00}
&{Gid:47191 Gname:运动手套（★） | 大型猎物 (久经沙场) CnyPrice:2140.00}
&{Gid:102294 Gname:USP 消音版 | 印花集 (久经沙场) CnyPrice:415.00}
&{Gid:10102 Gname:M4A1 消音型 | 印花集 (略有磨损) CnyPrice:1100.00}
&{Gid:56645 Gname:狂牙手套（★） | 翡翠 (破损不堪) CnyPrice:610.00}
&{Gid:864 Gname:AWP | 浮生如梦 (崭新出厂) CnyPrice:67.60}
&{Gid:2663 Gname:锯齿爪刀（★） | 狩猎网格 (久经沙场) CnyPrice:1435.00}
&{Gid:102315 Gname:AK-47 | 可燃冰 (久经沙场) CnyPrice:83.00}
&{Gid:48348 Gname:流浪者匕首（★） | 枯焦之色 (久经沙场) CnyPrice:859.50}
&{Gid:1918 Gname:AK-47 | 幻影破坏者 (略有磨损) CnyPrice:43.00}
&{Gid:51833 Gname:流浪者匕首（★） | 狩猎网格 (久经沙场) CnyPrice:858.00}
&{Gid:44087 Gname:折叠刀（★） | 黑色层压板 (久经沙场) CnyPrice:1228.00}
&{Gid:53384 Gname:AK-47（StatTrak™） | 墨岩 (久经沙场) CnyPrice:59.99}
&{Gid:12903 Gname:AK-47 | 阿努比斯军团 (略有磨损) CnyPrice:79.00}
&{Gid:2135 Gname:摩托手套（★） | 嘭！ (久经沙场) CnyPrice:2500.00}
&{Gid:3795 Gname:AWP | 红线 (略有磨损) CnyPrice:354.00}
&{Gid:62068 Gname:弯刀（★） | 自动化 (久经沙场) CnyPrice:908.00}
&{Gid:101923 Gname:印花 | G2 Esports（金色）| 2022年安特卫普锦标赛 CnyPrice:164.00}
&{Gid:46874 Gname:刺刀（★） | 伽玛多普勒 (崭新出厂) CnyPrice:3495.00}
&{Gid:2097 Gname:裹手（★） | 钴蓝骷髅 (久经沙场) CnyPrice:2870.00}
&{Gid:2026 Gname:蝴蝶刀（★） | 狩猎网格 (久经沙场) CnyPrice:3329.90}
&{Gid:3745 Gname:熊刀（★） | 多普勒 (崭新出厂) CnyPrice:2079.00}
&{Gid:52101 Gname:求生匕首（★） | 深红之网 (久经沙场) CnyPrice:1403.00}
&{Gid:101863 Gname:印花 | Copenhagen Flames（全息）| 2022年安特卫普锦标赛 CnyPrice:13.87}
&{Gid:50474 Gname:沙漠之鹰 | 印花集 (破损不堪) CnyPrice:290.00}
&{Gid:100294 Gname:印花 | FaZe Clan （闪亮） | 2021年斯德哥尔摩锦标赛 CnyPrice:17.89}
&{Gid:43855 Gname:骷髅匕首（★） | 狩猎网格 (战痕累累) CnyPrice:1499.00}
&{Gid:527 Gname:AWP | 黑色魅影 (略有磨损) CnyPrice:192.98}
&{Gid:837 Gname:M4A1 消音型 | 毁灭者 2000 (久经沙场) CnyPrice:55.90}
&{Gid:47761 Gname:P90 | 困兽之斗 (略有磨损) CnyPrice:28.97}
&{Gid:53452 Gname:驾驶手套（★） | 绯红列赞 (久经沙场) CnyPrice:500.00}
&{Gid:61735 Gname:格洛克 18 型 | 伽玛多普勒 (崭新出厂) CnyPrice:104.00}
&{Gid:45724 Gname:AWP | 渐变之色 (崭新出厂) CnyPrice:4734.00}
&{Gid:1022 Gname:裹手（★） | 防水布胶带 (久经沙场) CnyPrice:386.00}
&{Gid:51328 Gname:运动手套（★） | 弹弓 (破损不堪) CnyPrice:3500.00}
&{Gid:44504 Gname:刺刀（★） | 自由之手 (略有磨损) CnyPrice:1989.00}
&{Gid:101464 Gname:AK-47 | 夜愿 (破损不堪) CnyPrice:89.90}
&{Gid:3876 Gname:M4A1 消音型 | 女火神之炽焰 (破损不堪) CnyPrice:90.00}
&{Gid:101665 Gname:印花 | FURIA（全息）| 2022年安特卫普锦标赛 CnyPrice:38.00}
&{Gid:1220 Gname:加利尔 AR | 经济 (久经沙场) CnyPrice:26.00}
&{Gid:1208 Gname:USP 消音版 | 黑色魅影 (略有磨损) CnyPrice:140.00}
&{Gid:497 Gname:AK-47 | 皇后 (久经沙场) CnyPrice:146.00}
&{Gid:215 Gname:海军上尉里克索尔 | 海军水面战中心海豹部队 CnyPrice:41.50}
&{Gid:745 Gname:AWP | 黑色魅影 (崭新出厂) CnyPrice:233.50}
&{Gid:103122 Gname:2022年里约热内卢锦标赛炙热沙城 II 纪念包 CnyPrice:16.36}
&{Gid:44412 Gname:海豹短刀（★） | 渐变之色 (崭新出厂) CnyPrice:3359.00}
&{Gid:52220 Gname:短剑（★） | 表面淬火 (略有磨损) CnyPrice:2170.00}
&{Gid:47054 Gname:折叠刀（★） | 澄澈之水 (久经沙场) CnyPrice:1144.00}
&{Gid:2480 Gname:驾驶手套（★） | 王蛇 (久经沙场) CnyPrice:3148.00}
&{Gid:44259 Gname:短剑（★） | 人工染色 (久经沙场) CnyPrice:1425.00}
&{Gid:101065 Gname:布章 | Entropiq （金色） | 2021年斯德哥尔摩锦标赛 CnyPrice:59.89}
&{Gid:50121 Gname:短剑（★） | 狩猎网格 (久经沙场) CnyPrice:910.00}
&{Gid:2468 Gname:AK-47 | 混沌点阵 (略有磨损) CnyPrice:95.00}
&{Gid:4361 Gname:刺刀（★） | 传说 (久经沙场) CnyPrice:3015.00}
&{Gid:43574 Gname:折叠刀（★） | 多普勒 (崭新出厂) CnyPrice:1970.00}
&{Gid:919 Gname:MAC-10 | 渐变迪斯科 (久经沙场) CnyPrice:19.99}
&{Gid:34713 Gname:摩托手套（★） | 玳瑁 (久经沙场) CnyPrice:1068.00}
&{Gid:1534 Gname:音乐盒（StatTrak™） | Blitz Kids - 有为青年 CnyPrice:137.00}
&{Gid:2414 Gname:沙漠之鹰 | 机械工业 (略有磨损) CnyPrice:33.50}
&{Gid:10395 Gname:AK-47 | 复古浪潮 (略有磨损) CnyPrice:29.50}
&{Gid:61307 Gname:流浪者匕首（★ StatTrak™） | 北方森林 (战痕累累) CnyPrice:838.00}
&{Gid:102438 Gname:AK-47（StatTrak™） | 可燃冰 (战痕累累) CnyPrice:115.00}
&{Gid:295 Gname:专业手套（★） | 狩鹿 (久经沙场) CnyPrice:432.00}
&{Gid:53364 Gname:AK-47 | 墨岩 (久经沙场) CnyPrice:18.49}
&{Gid:52812 Gname:刺刀（★） | 致命紫罗兰 (破损不堪) CnyPrice:1495.00}
&{Gid:34966 Gname:残酷的达里尔爵士（迈阿密）| 专业人士 CnyPrice:197.00}
&{Gid:48179 Gname:短剑（★） | 表面淬火 (久经沙场) CnyPrice:1900.00}
&{Gid:61562 Gname:沙漠之鹰 | 纵横波涛 (略有磨损) CnyPrice:179.00}
&{Gid:47239 Gname:流浪者匕首（★） | 蓝钢 (战痕累累) CnyPrice:1550.00}
&{Gid:13157 Gname:M4A1 消音型 | 金蛇缠绕 (久经沙场) CnyPrice:229.66}
&{Gid:296 Gname:AWP | 珊瑚树 (略有磨损) CnyPrice:94.00}
&{Gid:44701 Gname:专业手套（★） | 陆军少尉长官 (久经沙场) CnyPrice:1698.88}
&{Gid:3744 Gname:法玛斯 | 防滚架 (略有磨损) CnyPrice:36.00}
&{Gid:743 Gname:AK-47 | 火神 (略有磨损) CnyPrice:1720.00}
&{Gid:43665 Gname:熊刀（★） | 大马士革钢 (久经沙场) CnyPrice:806.00}
&{Gid:52550 Gname:M9 刺刀（★） | 人工染色 (战痕累累) CnyPrice:2330.00}
&{Gid:3467 Gname:刺刀（★） | 致命紫罗兰 (久经沙场) CnyPrice:1389.50}
&{Gid:54764 Gname:流浪者匕首（★） | 表面淬火 (破损不堪) CnyPrice:1659.00}
&{Gid:53442 Gname:M4A4 | 活色生香 (久经沙场) CnyPrice:25.00}
&{Gid:4092 Gname:蝴蝶刀（★） | 噩梦之夜 (久经沙场) CnyPrice:4100.00}
&{Gid:44735 Gname:短剑（★） | 大马士革钢 (久经沙场) CnyPrice:1565.00}
&{Gid:102319 Gname:AWP | 迷人眼 (久经沙场) CnyPrice:141.00}
&{Gid:2446 Gname:AWP | 狮子之日 (崭新出厂) CnyPrice:99.00}
&{Gid:102427 Gname:AWP | 迷人眼 (战痕累累) CnyPrice:105.00}
&{Gid:1486 Gname:M4A1 消音型 | 金蛇缠绕 (略有磨损) CnyPrice:378.00}
&{Gid:1708 Gname:弯刀（★） | 渐变大理石 (崭新出厂) CnyPrice:1444.40}
&{Gid:44700 Gname:熊刀（★） | 外表生锈 (战痕累累) CnyPrice:710.00}
&{Gid:58380 Gname:弯刀（★） | 外表生锈 (破损不堪) CnyPrice:545.00}
&{Gid:101523 Gname:AK-47 | 夜愿 (久经沙场) CnyPrice:128.00}
&{Gid:2169 Gname:法玛斯 | 防滚架 (久经沙场) CnyPrice:22.89}
&{Gid:52369 Gname:刺刀（★） | 传说 (略有磨损) CnyPrice:4370.00}
&{Gid:102524 Gname:音乐盒（StatTrak™） | Sullivan King - 困兽 CnyPrice:11.50}
&{Gid:12908 Gname:飞贼波兹曼 | 专业人士 CnyPrice:42.00}
&{Gid:61997 Gname:猎杀者匕首（★） | 伽玛多普勒 (崭新出厂) CnyPrice:1485.00}
&{Gid:1679 Gname:短剑（★） | 渐变大理石 (崭新出厂) CnyPrice:3070.00}
&{Gid:45647 Gname:运动手套（★） | 猩红头巾 (战痕累累) CnyPrice:1139.00}
&{Gid:2096 Gname:运动手套（★） | 欧米伽 (久经沙场) CnyPrice:3934.00}
&{Gid:396 Gname:AWP | 树蝰 (略有磨损) CnyPrice:33.00}
&{Gid:14798 Gname:老K | 专业人士 CnyPrice:131.00}
&{Gid:757 Gname:M4A1 消音型 | 破碎铅秋 (久经沙场) CnyPrice:28.00}
&{Gid:61674 Gname:AWP | 复古流行 (久经沙场) CnyPrice:11.00}
&{Gid:1678 Gname:熊刀（★） CnyPrice:1415.00}
&{Gid:43531 Gname:折叠刀（★） | 深红之网 (久经沙场) CnyPrice:1835.00}
&{Gid:55807 Gname:裹手（★） | 沙漠头巾 (破损不堪) CnyPrice:398.00}
&{Gid:51135 Gname:运动手套（★） | 夜行衣 (久经沙场) CnyPrice:1895.00}
&{Gid:45912 Gname:短剑（★） | 多普勒 (崭新出厂) CnyPrice:2899.00}
&{Gid:11209 Gname:折叠刀（★） | 自动化 (久经沙场) CnyPrice:1628.00}
&{Gid:56312 Gname:熊刀（★） | 森林 DDPAT (战痕累累) CnyPrice:633.00}
&{Gid:2180 Gname:沙漠之鹰 | 午夜风暴 (崭新出厂) CnyPrice:124.00}
&{Gid:1021 Gname:AK-47 | 表面淬火 (破损不堪) CnyPrice:818.00}
&{Gid:173 Gname:AWP | 二西莫夫 (破损不堪) CnyPrice:450.00}
&{Gid:101006 Gname:残酷的达里尔（穷鬼）| 专业人士 CnyPrice:67.00}
&{Gid:45093 Gname:刺刀（★） | 渐变之色 (崭新出厂) CnyPrice:4739.00}
&{Gid:101992 Gname:印花 | Copenhagen Flames（金色）| 2022年安特卫普锦标赛 CnyPrice:25.77}
&{Gid:10105 Gname:驾驶手套（★） | 蓝紫格子 (久经沙场) CnyPrice:1875.00}
&{Gid:48492 Gname:爪子刀（★） | 表面淬火 (破损不堪) CnyPrice:3850.00}
&{Gid:44933 Gname:AK-47（StatTrak™） | 霓虹骑士 (久经沙场) CnyPrice:356.00}
&{Gid:48889 Gname:锯齿爪刀（★） | 北方森林 (久经沙场) CnyPrice:1550.00}
&{Gid:56212 Gname:流浪者匕首（★ StatTrak™） CnyPrice:2730.00}
&{Gid:46461 Gname:双持贝瑞塔 | 龙之双子 (崭新出厂) CnyPrice:12.90}
&{Gid:45136 Gname:爪子刀（★） | 森林 DDPAT (久经沙场) CnyPrice:2598.00}
&{Gid:46003 Gname:专业手套（★） | 一线特工 (久经沙场) CnyPrice:2448.00}
&{Gid:2626 Gname:格洛克 18 型 | 子弹皇后 (久经沙场) CnyPrice:52.46}
&{Gid:43766 Gname:专业手套（★） | 大腕 (久经沙场) CnyPrice:1430.00}
&{Gid:52282 Gname:流浪者匕首（★） | 蓝钢 (破损不堪) CnyPrice:1579.00}
&{Gid:608 Gname:AWP | 无畏战神 (略有磨损) CnyPrice:169.66}
&{Gid:53939 Gname:USP 消音版 | 倒吊人 (久经沙场) CnyPrice:87.00}
&{Gid:1572 Gname:AK-47 | 血腥运动 (略有磨损) CnyPrice:445.00}
&{Gid:44262 Gname:蝴蝶刀（★） | 致命紫罗兰 (久经沙场) CnyPrice:4580.00}
&{Gid:44794 Gname:骷髅匕首（★） | 蓝钢 (久经沙场) CnyPrice:2930.00}
&{Gid:270 Gname:AWP | 二西莫夫 (战痕累累) CnyPrice:341.50}
&{Gid:50368 Gname:刺刀（★） | 森林 DDPAT (久经沙场) CnyPrice:1170.00}
&{Gid:51329 Gname:专业手套（★） | 老虎精英 (久经沙场) CnyPrice:3970.00}
&{Gid:101022 Gname:陆军中尉普里米罗 | 巴西第一营 CnyPrice:36.90}
&{Gid:49076 Gname:短剑（★） | 枯焦之色 (略有磨损) CnyPrice:980.00}
&{Gid:61660 Gname:沙漠之鹰 | 沙漠之狐 (崭新出厂) CnyPrice:1690.00}
&{Gid:49373 Gname:折叠刀（★） | 渐变大理石 (崭新出厂) CnyPrice:2587.00}
&{Gid:2754 Gname:爪子刀（★） | 澄澈之水 (略有磨损) CnyPrice:3879.00}
&{Gid:102521 Gname:音乐盒（StatTrak™） | Knock2 - 冲击星* CnyPrice:162.97}
&{Gid:43338 Gname:熊刀（★） | 森林 DDPAT (久经沙场) CnyPrice:646.00}
&{Gid:423 Gname:M4A4 | 黑色魅影 (久经沙场) CnyPrice:35.98}
&{Gid:2632 Gname:M4A1 消音型 | 二号玩家 (久经沙场) CnyPrice:130.00}
&{Gid:1652 Gname:AUG | 席德.米德 (略有磨损) CnyPrice:21.30}
&{Gid:52710 Gname:M9 刺刀（★） | 传说 (战痕累累) CnyPrice:3399.00}
&{Gid:606 Gname:AK-47 | 血腥运动 (久经沙场) CnyPrice:398.00}
&{Gid:102523 Gname:音乐盒 | Knock2 - 冲击星* CnyPrice:109.55}
&{Gid:902 Gname:M4A4 | 死寂空间 (略有磨损) CnyPrice:56.00}
&{Gid:47233 Gname:骷髅匕首（★） | 狩猎网格 (久经沙场) CnyPrice:1565.00}
&{Gid:46887 Gname:运动手套（★） | 弹弓 (久经沙场) CnyPrice:4825.00}
&{Gid:50891 Gname:爪子刀（★） | 自由之手 (略有磨损) CnyPrice:3880.00}
&{Gid:54606 Gname:求生匕首（★） | 都市伪装 (战痕累累) CnyPrice:600.00}
&{Gid:101542 Gname:AK-47（StatTrak™） | 夜愿 (久经沙场) CnyPrice:263.00}
&{Gid:43804 Gname:AK-47 | 表面淬火 (略有磨损) CnyPrice:1000.00}
&{Gid:44444 Gname:M9 刺刀（★） | 自由之手 (久经沙场) CnyPrice:2850.00}
&{Gid:2160 Gname:格洛克 18 型 | 摩登时代 (久经沙场) CnyPrice:23.77}
&{Gid:13167 Gname:专业手套（★） | 翠绿之网 (久经沙场) CnyPrice:3710.00}
&{Gid:45944 Gname:AK-47 | 水栽竹 (久经沙场) CnyPrice:4880.00}
&{Gid:44884 Gname:弯刀（★） | 大马士革钢 (久经沙场) CnyPrice:740.00}
&{Gid:43814 Gname:裹手（★） | 钴蓝骷髅 (破损不堪) CnyPrice:2320.00}
&{Gid:4955 Gname:格洛克 18 型 | 子弹皇后 (略有磨损) CnyPrice:98.00}
&{Gid:2957 Gname:短剑（★） | 深红之网 (久经沙场) CnyPrice:1989.00}
&{Gid:729 Gname:Tec-9 | 燃料喷射器 (久经沙场) CnyPrice:17.00}
&{Gid:100337 Gname:印花 | FURIA （全息） | 2021年斯德哥尔摩锦标赛 CnyPrice:26.98}
&{Gid:57471 Gname:系绳匕首（★） | 蓝钢 (战痕累累) CnyPrice:815.00}
&{Gid:2767 Gname:AK-47 | 霓虹骑士 (久经沙场) CnyPrice:191.00}
&{Gid:61850 Gname:G3SG1 | 碧藤青翠 (略有磨损) CnyPrice:29.00}
&{Gid:43368 Gname:AK-47 | 燃料喷射器 (略有磨损) CnyPrice:1093.00}
&{Gid:1970 Gname:USP 消音版 | 猎户 (崭新出厂) CnyPrice:300.00}
&{Gid:4425 Gname:AK-47 | 燃料喷射器 (久经沙场) CnyPrice:600.00}
&{Gid:101155 Gname:音乐盒 | The Verkkars & n0thing - 闪光舞 CnyPrice:28.10}
&{Gid:169 Gname:“两次”麦考伊 | 美国空军战术空中管制部队 CnyPrice:11.99}
&{Gid:46108 Gname:短剑（★） | 致命紫罗兰 (战痕累累) CnyPrice:1024.50}
&{Gid:2791 Gname:短剑（★） CnyPrice:2338.50}
&{Gid:61734 Gname:格洛克 18 型 | 伽玛多普勒 (久经沙场) CnyPrice:70.99}
&{Gid:414 Gname:AWP | 树蝰 (久经沙场) CnyPrice:18.50}
&{Gid:862 Gname:AK-47 | 火神 (久经沙场) CnyPrice:1174.00}
&{Gid:2540 Gname:M4A1 消音型 | 毁灭者 2000 (略有磨损) CnyPrice:77.59}
&{Gid:44488 Gname:刺刀（★） CnyPrice:3398.00}
&{Gid:101538 Gname:MP7 | 幽幻深渊 (久经沙场) CnyPrice:12.90}
&{Gid:49690 Gname:猎杀者匕首（★） CnyPrice:1105.00}
&{Gid:61688 Gname:M4A4 | 合纵 (久经沙场) CnyPrice:163.50}
&{Gid:44953 Gname:AK-47 | 燃料喷射器 (崭新出厂) CnyPrice:1955.00}
&{Gid:10645 Gname:暗影双匕（★） | 北方森林 (久经沙场) CnyPrice:500.00}
&{Gid:100329 Gname:印花 | G2 Esports （全息） | 2021年斯德哥尔摩锦标赛 CnyPrice:28.50}
&{Gid:50612 Gname:短剑（★ StatTrak™） CnyPrice:2300.00}
&{Gid:5124 Gname:AK-47 | 火神 (崭新出厂) CnyPrice:4000.00}
&{Gid:102348 Gname:USP 消音版 | 印花集 (略有磨损) CnyPrice:625.00}
&{Gid:45102 Gname:约翰 “范·海伦” 卡斯克 | 特警 CnyPrice:14.20}
&{Gid:46889 Gname:SSG 08 | 幽灵战士 (崭新出厂) CnyPrice:18.50}
&{Gid:48857 Gname:刺刀（★） | 北方森林 (略有磨损) CnyPrice:1389.00}
&{Gid:52688 Gname:骷髅匕首（★） | 北方森林 (略有磨损) CnyPrice:1750.00}
&{Gid:56160 Gname:M9 刺刀（★） | 自由之手 (破损不堪) CnyPrice:2493.00}
&{Gid:7935 Gname:红衫列赞 | 军刀 CnyPrice:12.40}
&{Gid:51431 Gname:爪子刀（★） | 枯焦之色 (久经沙场) CnyPrice:2505.00}
&{Gid:1943 Gname:AWP | *嘣* (略有磨损) CnyPrice:480.00}
&{Gid:48223 Gname:裹手（★） | 长颈鹿 (久经沙场) CnyPrice:690.00}
&{Gid:46727 Gname:流浪者匕首（★） | 夜色 (久经沙场) CnyPrice:1107.00}
&{Gid:102366 Gname:AK-47 | 可燃冰 (崭新出厂) CnyPrice:250.00}
&{Gid:9567 Gname:蝴蝶刀（★） | 致命紫罗兰 (破损不堪) CnyPrice:4030.00}
&{Gid:2000 Gname:系绳匕首（★） | 人工染色 (久经沙场) CnyPrice:788.00}
&{Gid:43399 Gname:沙漠之鹰 | 炽烈之炎 (崭新出厂) CnyPrice:3180.00}
&{Gid:424 Gname:P90 | 二西莫夫 (久经沙场) CnyPrice:49.50}
&{Gid:1986 Gname:M9 刺刀（★） | 澄澈之水 (久经沙场) CnyPrice:3025.00}
&{Gid:49742 Gname:短剑（★） | 表面淬火 (破损不堪) CnyPrice:1645.00}
&{Gid:43401 Gname:USP 消音版 | 脑洞大开 (崭新出厂) CnyPrice:52.78}
&{Gid:1229 Gname:M4A4 | 喧嚣杀戮 (略有磨损) CnyPrice:83.50}
&{Gid:890 Gname:AWP | 狮子之日 (略有磨损) CnyPrice:90.00}
&{Gid:50239 Gname:系绳匕首（★） | 北方森林 (久经沙场) CnyPrice:606.60}
&{Gid:43592 Gname:M4A1 消音型 | 控制台 (略有磨损) CnyPrice:107.00}
&{Gid:9766 Gname:九头蛇手套（★） | 表面淬火 (战痕累累) CnyPrice:368.80}
&{Gid:2015 Gname:USP 消音版 | 黑色魅影 (久经沙场) CnyPrice:94.90}
&{Gid:44196 Gname:海豹短刀（★） | 都市伪装 (略有磨损) CnyPrice:695.00}
&{Gid:45047 Gname:P250 | 葡萄酒 (崭新出厂) CnyPrice:56.00}
&{Gid:13158 Gname:穿肠刀（★） | 渐变之色 (崭新出厂) CnyPrice:1000.00}
&{Gid:605 Gname:M4A4 | 皇帝 (久经沙场) CnyPrice:82.97}
&{Gid:1460 Gname:USP 消音版（StatTrak™） | 次时代 (久经沙场) CnyPrice:23.86}
&{Gid:44827 Gname:运动手套（★） | 超导体 (战痕累累) CnyPrice:3850.00}
&{Gid:61999 Gname:猎杀者匕首（★） | 澄澈之水 (久经沙场) CnyPrice:640.00}
&{Gid:51702 Gname:求生匕首（★） | 森林 DDPAT (久经沙场) CnyPrice:550.00}
&{Gid:1537 Gname:AWP | 红线 (久经沙场) CnyPrice:199.50}
&{Gid:4299 Gname:M9 刺刀（★） | 黑色层压板 (久经沙场) CnyPrice:4245.00}
&{Gid:52277 Gname:AK-47 | X 射线 (战痕累累) CnyPrice:1400.00}
&{Gid:100293 Gname:印花 | Entropiq （全息） | 2021年斯德哥尔摩锦标赛 CnyPrice:31.99}
&{Gid:52725 Gname:蝴蝶刀（★） | 枯焦之色 (破损不堪) CnyPrice:3270.00}
&{Gid:49625 Gname:AK-47 | 深海复仇 (战痕累累) CnyPrice:104.00}
&{Gid:48893 Gname:刺刀（★） | 传说 (战痕累累) CnyPrice:2200.00}
&{Gid:13175 Gname:P90 | 喵之萌杀 (略有磨损) CnyPrice:304.88}
&{Gid:48110 Gname:刺刀（★） | 黑色层压板 (破损不堪) CnyPrice:1839.00}
&{Gid:53050 Gname:爪子刀（★） | 自由之手 (崭新出厂) CnyPrice:4290.00}
&{Gid:1967 Gname:锯齿爪刀（★） | 外表生锈 (战痕累累) CnyPrice:1924.90}
&{Gid:1971 Gname:AK-47 | 皇后 (略有磨损) CnyPrice:232.00}
&{Gid:2610 Gname:USP 消音版 | 脑洞大开 (略有磨损) CnyPrice:22.80}
&{Gid:2980 Gname:爪子刀（★） | 外表生锈 (战痕累累) CnyPrice:3019.50}
&{Gid:50183 Gname:专业手套（★） | 元勋 (战痕累累) CnyPrice:855.80}
&{Gid:13183 Gname:生命值胸章 CnyPrice:165.00}
&{Gid:61401 Gname:AK-47 | 抽象派 1337 (久经沙场) CnyPrice:95.00}
&{Gid:49005 Gname:AWP | 黑色魅影 (战痕累累) CnyPrice:135.00}
&{Gid:754 Gname:M9 刺刀（★） | 多普勒 (崭新出厂) CnyPrice:4630.00}
&{Gid:1539 Gname:M4A1 消音型 | 暴怒野兽 (久经沙场) CnyPrice:113.00}
&{Gid:46122 Gname:穿肠刀（★） | 澄澈之水 (崭新出厂) CnyPrice:620.00}
&{Gid:5870 Gname:折刀（★） CnyPrice:595.00}
&{Gid:799 Gname:AWP | 死神 (久经沙场) CnyPrice:11.00}
&{Gid:51630 Gname:穿肠刀（★） | 传说 (久经沙场) CnyPrice:845.00}
&{Gid:53365 Gname:XM1014 | 要抱抱 (略有磨损) CnyPrice:20.79}
&{Gid:1966 Gname:沙漠之鹰 | 红色代号 (久经沙场) CnyPrice:138.99}
&{Gid:61297 Gname:流浪者匕首（★ StatTrak™） | 表面淬火 (略有磨损) CnyPrice:2595.00}
&{Gid:61441 Gname:M4A4 | 彼岸花 (略有磨损) CnyPrice:22.90}
&{Gid:203 Gname:截短霰弹枪 | 祥和之翼 (崭新出厂) CnyPrice:13.04}
&{Gid:55532 Gname:熊刀（★） | 屠夫 (久经沙场) CnyPrice:1750.00}
&{Gid:48420 Gname:熊刀（★） | 渐变之色 (崭新出厂) CnyPrice:3135.00}
&{Gid:2769 Gname:咆哮胸章 CnyPrice:375.00}
&{Gid:62059 Gname:弯刀（★） | 传说 (久经沙场) CnyPrice:969.00}
&{Gid:10995 Gname:M4A4 | 杀意大名 (崭新出厂) CnyPrice:31.99}
&{Gid:44630 Gname:裹手（★） | 套印 (略有磨损) CnyPrice:3139.00}
&{Gid:53559 Gname:运动手套（★） | 夜行衣 (略有磨损) CnyPrice:4800.00}
